id_filmu: 1, id_uzytkownika: 2, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 2, id_uzytkownika: 4, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 3, id_uzytkownika: 6, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 4, id_uzytkownika: 8, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 5, id_uzytkownika: 10, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 6, id_uzytkownika: 12, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 7, id_uzytkownika: 14, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 8, id_uzytkownika: 16, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 9, id_uzytkownika: 18, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 10, id_uzytkownika: 20, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 11, id_uzytkownika: 22, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 12, id_uzytkownika: 24, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 13, id_uzytkownika: 26, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 14, id_uzytkownika: 28, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 15, id_uzytkownika: 30, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 16, id_uzytkownika: 32, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 17, id_uzytkownika: 34, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 18, id_uzytkownika: 36, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 19, id_uzytkownika: 38, ocena: 5, data_glosowania: 2024-01-10
id_filmu: 20, id_uzytkownika: 40, ocena: 1, data_glosowania: 2024-01-10
id_filmu: 21, id_uzytkownika: 42, ocena: 2, data_glosowania: 2024-01-10
id_filmu: 22, id_uzytkownika: 44, ocena: 3, data_glosowania: 2024-01-10
id_filmu: 23, id_uzytkownika: 46, ocena: 4, data_glosowania: 2024-01-10
id_filmu: 24, id_uzytkownika: 48, ocena: 5, data_glosowania: 2024-01-10
